Time,durationString,Distance,pace,calories,walkEnd,weight
2013-03-25,"3:39'15""",7.6746,"28'34"" / km",318,9864,50.0
2013-03-26,"2:45'44""",9.0604,"18'17"" / km",385,11616,50.0
2013-03-26,"5'13""",0.0053,-- --,0,7,50.0
2013-03-27,"2:41'45""",5.7133,"28'19"" / km",230,7415,50.0
2013-03-27,"3:03'27""",6.5379,"28'04"" / km",260,8489,50.0
2013-03-27,"35'30""",0.0251,"1411'36"" / km",1,33,50.0
2013-03-28,"3:25'32""",11.9099,"17'15"" / km",500,15227,50.0
2013-03-29,"2:57'46""",9.8534,"18'02"" / km",389,12739,50.0
2013-04-01,"3:30'25""",9.5275,"22'05"" / km",389,12330,50.0
2013-04-02,"3:07'40""",10.8481,"17'18"" / km",504,13093,50.0
2013-04-03,"3'54""",0.0177,"220'02"" / km",1,27,50.0
2013-04-03,"1:03'51""",2.8820,"22'09"" / km",108,3740,50.0
2013-04-03,"1:25'36""",5.4539,"15'42"" / km",202,7182,50.0
2013-04-04,"1:21'02""",5.4744,"14'48"" / km",234,6812,50.0
2013-04-04,"2:22'43""",3.7802,"37'45"" / km",138,5163,50.0
2013-04-05,"23'17""",1.5805,"14'44"" / km",66,2019,50.0
2013-04-06,"2:49'25""",8.9466,"18'56"" / km",376,11280,50.0
2013-04-07,"19'09""",0.1344,"142'30"" / km",5,171,50.0
2013-04-08,"5'22""",0.0130,"414'26"" / km",0,17,50.0
2013-04-08,"1:16'55""",5.3869,"14'17"" / km",259,6309,50.0
2013-04-08,"1:36'39""",5.9291,"16'18"" / km",250,7504,50.0
2013-04-09,"55'34""",3.0030,"18'30"" / km",134,3779,50.0
2013-04-09,"0'23""",0.0145,"26'07"" / km",1,19,50.0
2013-04-15,"6:50'15""",5.2816,"77'40"" / km",200,6788,50.0
2013-04-16,"1:26'04""",0.0116,"7408'08"" / km",0,16,50.0
2013-04-16,"2:20'40""",4.7351,"29'42"" / km",179,6315,50.0
2013-04-17,"2:07'02""",5.9838,"21'14"" / km",234,7809,50.0
2013-04-18,"1:31'36""",5.3691,"17'04"" / km",229,6461,50.0
2013-04-19,"1:31'08""",6.9739,"13'04"" / km",280,8952,50.0
2013-04-19,"50'54""",3.3794,"15'04"" / km",164,3620,50.0
2013-04-20,"16'14""",0.2345,"69'13"" / km",9,336,50.0
2013-04-21,"1:54'39""",1.7387,"65'56"" / km",66,2423,50.0
2013-04-22,"1:50'16""",4.0805,"27'01"" / km",152,5425,50.0
2013-04-23,"1:15'42""",4.3204,"17'31"" / km",170,5567,50.0
2013-04-24,"2:14'22""",7.0762,"18'59"" / km",270,9305,50.0
2013-04-25,"12'30""",0.0311,"401'57"" / km",1,44,50.0
2013-04-25,"1:10'25""",0.0076,-- --,0,10,50.0
2013-04-26,"3:59'49""",5.1824,"46'16"" / km",240,6380,50.0
2013-04-27,"5:08'28""",9.3608,"32'57"" / km",377,12011,50.0
2013-04-28,"32'57""",0.5872,"56'06"" / km",26,762,50.0
2013-04-29,"17'33""",0.0087,-- --,0,12,50.0
2013-04-30,"1:38'19""",6.4801,"15'10"" / km",302,7609,50.0
2013-05-01,"2:56'33""",6.7134,"26'18"" / km",266,8689,50.0
2013-05-02,"3:02'26""",6.0210,"30'18"" / km",226,8146,50.0
2013-05-03,"22'10""",0.5176,"42'50"" / km",21,692,50.0
2013-05-07,"1:22'32""",3.5744,"23'05"" / km",154,4486,50.0
2013-05-08,"2:35'26""",4.6982,"33'05"" / km",187,6008,50.0
2013-05-08,"2:35'26""",4.6982,"33'05"" / km",187,6008,50.0
2013-05-09,"2:49'42""",6.9510,"24'25"" / km",258,9383,50.0
2013-05-13,"52'16""",3.4505,"15'09"" / km",139,4422,50.0
2013-05-14,"2:47'03""",6.3171,"26'27"" / km",230,8479,50.0
2013-05-15,"2:04'11""",6.6409,"18'42"" / km",249,8710,50.0
2013-05-16,"5:46'27""",3.2156,"107'44"" / km",119,3997,50.0
2013-05-16,"6:10'22""",6.6832,"55'25"" / km",246,9059,50.0
2013-05-17,"24:00'01""",0.8361,"1722'20"" / km",30,1208,50.0
2013-05-18,"1:07'14""",0.0046,-- --,0,6,50.0
2013-05-20,"1:51'57""",6.3244,"17'42"" / km",244,8127,50.0
2013-05-20,"1:51'57""",6.3244,"17'42"" / km",244,8127,50.0
2013-05-21,"13'00""",0.0317,"410'09"" / km",1,47,50.0
2013-05-21,"1:58'22""",4.8575,"24'22"" / km",187,6105,50.0
2013-05-22,"3:28'52""",9.0645,"23'03"" / km",375,11077,50.0
2013-05-23,"2:27'11""",10.6714,"13'47"" / km",436,12673,50.0
2013-05-24,"2:59'56""",10.8950,"16'31"" / km",410,13522,50.0
2013-05-25,"3:14'53""",8.9923,"21'40"" / km",329,11447,50.0
2013-05-27,"1:30'54""",5.3128,"17'07"" / km",193,7245,50.0
2013-05-28,"58'48""",3.0163,"19'30"" / km",115,3797,50.0
2013-05-28,"2:44'32""",3.6813,"44'42"" / km",134,4858,50.0
2013-05-29,"1:46'15""",6.2646,"16'58"" / km",229,8103,50.0
2013-05-30,"1:56'08""",8.4915,"13'41"" / km",335,10641,50.0
2013-05-31,"11:37'27""",8.2230,"84'49"" / km",301,11210,50.0
2013-06-01,"2:13'51""",5.4658,"24'29"" / km",202,7385,50.0
2013-06-03,"30'00""",0.9400,"31'55"" / km",34,1276,50.0
2013-06-04,"55'41""",3.2593,"17'05"" / km",126,4024,50.0
2013-06-04,"1:01'18""",3.2812,"18'41"" / km",127,4092,50.0
2013-06-05,"3:02'12""",3.8085,"47'50"" / km",139,5129,50.0
2013-06-06,"2:11'10""",6.6046,"19'52"" / km",255,8273,50.0
2013-06-07,"3:27'04""",8.5684,"24'10"" / km",318,11885,50.0
2013-06-08,"11'01""",0.0138,"797'02"" / km",1,20,50.0
2013-06-08,"1:23'36""",0.7532,"111'00"" / km",29,1057,50.0
2013-06-09,"0'12""",0.0115,"17'07"" / km",0,16,50.0
2013-06-09,"1:16'18""",0.0084,-- --,0,11,50.0
2013-06-10,"2:25'32""",6.7333,"21'37"" / km",254,8687,50.0
2013-06-11,"2:11'11""",3.9945,"32'50"" / km",145,5614,50.0
2013-06-12,"1:04'09""",1.1655,"55'02"" / km",46,1595,50.0
2013-06-12,"2:42'15""",3.4612,"46'53"" / km",126,4553,50.0
2013-06-13,"1:43'31""",4.2076,"24'36"" / km",154,5790,50.0
2013-06-14,"6'54""",0.0379,"182'08"" / km",1,53,50.0
2013-06-20,"26'49""",0.9404,"28'31"" / km",34,1329,50.0
2013-06-21,"44'45""",1.3302,"33'38"" / km",49,1873,50.0
